"","stfid","sumlevel","st_fips","cnty_fips","cnty_sub_fips","tract_fips","block_group","cong_dist","sch_dist_sec","sch_dist_ele","drive0913","drive0913_moe"
"110","5500386850","060","55","3","86850",NA,NA,NA,NA,NA,0.908045977011494,0.0899449993918383
"111","5500501325","060","55","5","01325",NA,NA,NA,NA,NA,0.923875432525952,0.064862955934832
"112","5500501350","060","55","5","01350",NA,NA,NA,NA,NA,0.869426751592357,0.0553140635549742
"113","5500502775","060","55","5","02775",NA,NA,NA,NA,NA,0.85254691689008,0.0515612421336475
"114","5500504875","060","55","5","04875",NA,NA,NA,NA,NA,0.728857327307941,0.124020016945856
"115","5500504900","060","55","5","04900",NA,NA,NA,NA,NA,0.81924882629108,0.0909768046557959
"116","5500505650","060","55","5","05650",NA,NA,NA,NA,NA,0.883582089552239,0.0937964476028745
"117","5500512250","060","55","5","12250",NA,NA,NA,NA,NA,0.927023945267959,0.048741974485184
"118","5500513500","060","55","5","13500",NA,NA,NA,NA,NA,0.917864476386037,0.0803228819325118
"119","5500514325","060","55","5","14325",NA,NA,NA,NA,NA,0.886752136752137,0.0391207697100704
"120","5500514350","060","55","5","14350",NA,NA,NA,NA,NA,0.926332288401254,0.0513600785163102
"121","5500515600","060","55","5","15600",NA,NA,NA,NA,NA,0.845771144278607,0.0212916559212798
"122","5500517875","060","55","5","17875",NA,NA,NA,NA,NA,0.902702702702703,0.0928413464604328
"123","5500518025","060","55","5","18025",NA,NA,NA,NA,NA,0.854297693920335,0.0712479103872712
"124","5500518050","060","55","5","18050",NA,NA,NA,NA,NA,0.835051546391753,0.0490242361087792
"125","5500518575","060","55","5","18575",NA,NA,NA,NA,NA,0.860215053763441,0.118212868799041
"126","5500518600","060","55","5","18600",NA,NA,NA,NA,NA,0.787769784172662,0.0681623855561929
"127","5500520650","060","55","5","20650",NA,NA,NA,NA,NA,0.893229166666667,0.20977734872088
"128","5500520750","060","55","5","20750",NA,NA,NA,NA,NA,0.941860465116279,0.0530380947077235
"129","5500533225","060","55","5","33225",NA,NA,NA,NA,NA,0.843373493975904,0.0352829571645351
"130","5500541600","060","55","5","41600",NA,NA,NA,NA,NA,0.886917960088692,0.0496587343109695
"131","5500548825","060","55","5","48825",NA,NA,NA,NA,NA,0.88963963963964,0.0428424005688076
"132","5500548950","060","55","5","48950",NA,NA,NA,NA,NA,0.933554817275748,0.281044104147652
"133","5500556350","060","55","5","56350",NA,NA,NA,NA,NA,1,1.8
"134","5500558950","060","55","5","58950",NA,NA,NA,NA,NA,0.869811320754717,0.0810698925566613
"135","5500565150","060","55","5","65150",NA,NA,NA,NA,NA,0.908045977011494,0.279232675968207
"136","5500565175","060","55","5","65175",NA,NA,NA,NA,NA,0.819620253164557,0.0969512785593125
"137","5500565200","060","55","5","65200",NA,NA,NA,NA,NA,0.8656,0.0436772960874457
"138","5500567350","060","55","5","67350",NA,NA,NA,NA,NA,0.955590800951626,0.021581038119852
"139","5500567375","060","55","5","67375",NA,NA,NA,NA,NA,0.859725685785536,0.0481403757181242
"140","5500574125","060","55","5","74125",NA,NA,NA,NA,NA,0.748502994011976,0.206271527263164
"141","5500576550","060","55","5","76550",NA,NA,NA,NA,NA,0.806094182825485,0.0687901956018234
"142","5500576600","060","55","5","76600",NA,NA,NA,NA,NA,0.948339483394834,0.0461380725119246
"143","5500578450","060","55","5","78450",NA,NA,NA,NA,NA,0.958605664488017,0.0386665865355314
"144","5500581075","060","55","5","81075",NA,NA,NA,NA,NA,0.815985130111524,0.229376711536619
"145","5500581100","060","55","5","81100",NA,NA,NA,NA,NA,0.927586206896552,0.0594224653884696
